Name,Description,Price,Region,AvailabilityZone
io2,SSD-backed Provisioned IOPS Disk,0.00021083333333333333,me-south-1,mes1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00021083333333333333,me-south-1,mes1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-1,use1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-1,use1-az2
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-1,use1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-1,use1-az4
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-1,use1-az5
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-1,use1-az6
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-2,use2-az1
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-2,use2-az2
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-east-2,use2-az3
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,us-west-1,usw1-az1
io2,SSD-backed Provisioned IOPS Disk,0.00019166666666666667,us-west-1,usw1-az3
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-west-2,usw2-az1
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-west-2,usw2-az2
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-west-2,usw2-az3
io2,SSD-backed Provisioned IOPS Disk,0.00017361111111111112,us-west-2,usw2-az4
standard,HDD-backed Magnetic Disk,9.090277777777778e-05,af-south-1,afs1-az1
standard,HDD-backed Magnetic Disk,9.090277777777778e-05,af-south-1,afs1-az2
standard,HDD-backed Magnetic Disk,9.090277777777778e-05,af-south-1,afs1-az3
standard,HDD-backed Magnetic Disk,0.00012222222222222221,ap-east-1,ape1-az1
standard,HDD-backed Magnetic Disk,0.00012222222222222221,ap-east-1,ape1-az2
standard,HDD-backed Magnetic Disk,0.00012222222222222221,ap-east-1,ape1-az3
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-1,apne1-az1
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-1,apne1-az2
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-1,apne1-az4
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-2,apne2-az1
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-2,apne2-az2
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-2,apne2-az3
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-2,apne2-az4
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-3,apne3-az1
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-3,apne3-az2
standard,HDD-backed Magnetic Disk,0.00011111111111111112,ap-northeast-3,apne3-az3
